,date,sentiment_index,count
0,01-08,0.7895,19.0
1,01-15,0.8667,30.0
2,01-22,0.8182,11.0
3,01-29,1.0,16.0
4,02-05,0.5625,16.0
5,02-12,0.0,0.0
6,02-19,1.0,19.0
7,02-26,0.8,10.0
8,03-05,0.6667,18.0
9,03-12,0.8571,21.0
10,03-19,0.4,5.0
11,03-26,0.6364,11.0
12,04-02,0.25,4.0
13,04-09,0.561,41.0
14,04-16,0.9412,17.0
15,04-23,0.7,10.0
16,04-30,0.8125,16.0
17,05-07,0.7143,21.0
18,05-14,1.0,10.0
19,05-21,0.5385,13.0
20,05-28,0.8077,26.0
21,06-04,0.8571,7.0
22,06-11,0.8939,66.0
23,06-18,0.75,4.0
24,06-25,0.8333,12.0
25,07-02,0.7381,42.0
26,07-09,0.7692,52.0
27,07-16,1.0,2.0
28,07-23,1.0,9.0
29,07-30,0.2308,13.0
30,08-06,0.7959,49.0
31,08-13,0.8824,17.0
32,08-20,0.5714,14.0
33,08-27,0.6875,48.0
34,09-03,0.1176,17.0
35,09-10,0.6735,49.0
36,09-17,-0.4,5.0
37,09-24,0.4545,11.0
39,09-30,0.7714,105.0
40,10-01,0.4615,39.0
41,10-04,0.3824,34.0
42,10-05,0.6429,42.0
43,10-06,0.84,50.0
44,10-07,0.4091,44.0
45,10-08,0.8571,14.0
46,10-11,0.5926,27.0
47,10-12,0.6667,6.0
48,10-13,0.7619,42.0
49,10-14,0.8667,15.0
50,10-22,0.8667,15.0
51,10-15,0.8095,21.0
52,10-18,1.0,4.0
53,10-19,0.6923,13.0
54,10-20,0.8182,11.0
55,10-21,0.8636,22.0
56,10-25,0.7667,30.0
57,10-26,0.6667,27.0
58,10-27,0.6667,12.0
59,10-28,0.625,24.0
60,10-29,0.5333,15.0
61,11-01,0.75,28.0
62,11-02,1.0,3.0
63,11-03,1.0,21.0
64,11-04,0.8889,9.0
65,11-05,0.7692,13.0
66,11-08,0.7174,46.0
67,11-09,0.6897,29.0
68,11-10,1.0,24.0
69,11-11,0.6207,29.0
70,11-12,0.8,10.0
71,11-15,0.725,40.0
72,11-16,0.6,5.0
73,11-17,0.75,4.0
74,11-18,0.8824,17.0
75,11-19,0.6818,22.0
76,11-22,0.5714,35.0
77,11-23,0.6667,6.0
78,11-24,1.0,7.0
79,11-25,0.7143,7.0
80,11-26,0.8,40.0
81,11-29,0.8824,17.0
82,11-30,0.5833,12.0
83,12-01,0.8125,16.0
84,12-02,0.6875,32.0
85,12-03,0.697,33.0
86,12-06,0.5,8.0
87,12-07,0.8333,24.0
88,12-08,0.8,30.0
89,12-09,0.7656,64.0
90,12-10,0.76,25.0
91,12-13,0.8333,18.0
92,12-14,0.0,1.0
93,12-15,0.7083,24.0
94,12-16,0.7917,24.0
95,12-17,0.8571,7.0
96,12-20,0.75,20.0
97,12-21,1.0,1.0
98,12-22,0.8235,17.0
99,12-23,0.8621,29.0
100,12-24,0.3684,19.0
101,12-27,0.7222,18.0
102,12-28,0.7143,14.0
103,12-29,0.2727,11.0
104,12-30,0.6667,15.0
105,12-31,1.0,7.0
106,01-03,0.8667,15.0
107,01-04,0.5385,13.0
108,01-05,0.3333,12.0
109,01-06,1.0,10.0
110,01-07,0.9048,21.0
111,01-10,0.7451,51.0
112,01-11,0.8571,56.0
113,01-12,0.8182,11.0
114,01-13,0.5,8.0
115,01-14,0.6667,18.0
116,01-17,0.7857,28.0
117,01-18,0.8571,7.0
118,01-19,0.8333,18.0
119,01-20,0.75,8.0
120,01-21,0.8667,15.0
121,01-24,0.875,32.0
122,01-25,0.5,2.0
123,01-26,0.9286,14.0
124,01-27,0.0,0.0
125,01-28,0.0,0.0
126,01-31,1.0,6.0
127,02-01,1.0,1.0
128,02-02,0.0,0.0
129,02-03,0.0,0.0
130,02-04,0.0,0.0
131,02-07,0.3333,3.0
132,02-08,0.8889,9.0
133,02-09,0.95,20.0
134,02-10,1.0,15.0
135,02-11,0.9677,31.0
136,02-14,0.8936,47.0
137,02-15,0.8936,47.0
138,02-16,1.0,10.0
139,02-17,1.0,1.0
140,02-18,0.8571,7.0
141,02-21,0.7241,29.0
142,02-22,1.0,4.0
143,02-23,1.0,5.0
144,02-24,1.0,8.0
145,02-25,0.4615,13.0
146,02-28,0.5333,30.0
147,03-01,0.4167,12.0
148,03-02,0.8333,6.0
149,03-03,0.5556,9.0
150,03-04,0.95,20.0
151,03-07,0.7105,38.0
152,03-08,0.7143,21.0
153,03-09,0.7879,33.0
154,03-10,0.7812,32.0
155,03-11,0.9259,27.0
156,03-14,0.7097,31.0
157,03-15,0.2667,15.0
158,03-16,0.8276,29.0
159,03-17,0.75,12.0
160,03-18,0.8889,27.0
161,03-21,0.6552,29.0
162,03-22,0.8,30.0
163,03-23,0.65,20.0
164,03-24,0.5294,17.0
165,03-25,0.8696,23.0
166,03-28,0.9773,44.0
167,03-29,0.5556,9.0
168,03-30,0.7778,9.0
169,03-31,0.4286,21.0
170,04-01,0.1818,11.0
171,04-04,0.8333,36.0
172,04-05,0.3333,9.0
173,04-06,0.625,8.0
174,04-07,0.9333,15.0
175,04-08,0.6923,13.0
176,04-11,0.7692,52.0
177,04-12,0.8824,34.0
178,04-13,1.0,10.0
179,04-14,0.5854,41.0
180,04-15,0.5,4.0
181,04-18,0.5,30.0
182,04-19,0.8333,18.0
183,04-20,0.7692,13.0
184,04-21,0.8125,32.0
185,04-22,0.8286,35.0
186,04-25,0.7727,22.0
187,04-26,0.8182,11.0
188,04-27,0.75,8.0
189,04-28,1.0,10.0
190,04-29,0.1667,6.0
