,date,sentiment_index,count
0,07-09,0.9375,16.0
1,07-08,0.9677,31.0
2,01-25,0.0,0.0
3,01-26,1.0,5.0
4,02-01,0.6957,23.0
5,03-02,0.9189,74.0
6,03-09,0.0,12.0
7,03-16,0.8421,19.0
8,03-23,1.0,4.0
9,03-30,0.5,20.0
10,04-06,0.0,0.0
11,04-13,0.9545,22.0
12,04-20,0.0,0.0
13,04-21,0.5,2.0
14,04-27,0.7917,24.0
15,04-28,0.75,28.0
16,05-04,0.381,21.0
17,05-05,0.7586,29.0
18,05-11,0.8846,26.0
19,05-12,0.9474,19.0
20,05-18,0.9474,19.0
21,05-19,0.0,0.0
22,05-25,0.375,16.0
23,05-26,0.0,0.0
24,06-01,0.871,31.0
25,06-02,0.0,0.0
26,06-08,0.6,15.0
27,06-09,0.8889,27.0
28,06-15,0.8182,11.0
29,06-16,0.6667,18.0
30,06-22,0.0,0.0
31,06-23,0.5,2.0
32,06-29,0.7,10.0
33,06-30,0.9231,13.0
34,07-06,0.75,24.0
35,07-07,0.7895,19.0
36,07-13,0.8,10.0
37,07-14,0.871,31.0
38,07-20,1.0,2.0
39,07-21,0.6786,28.0
40,07-27,0.6667,12.0
41,07-28,0.75,16.0
42,08-03,0.9444,18.0
43,08-04,0.375,8.0
44,08-10,0.5,20.0
45,08-11,0.6667,33.0
46,08-17,1.0,6.0
47,08-18,0.2941,34.0
48,08-24,0.95,20.0
49,08-25,0.8621,29.0
50,08-31,0.8,30.0
51,09-01,0.0,0.0
52,09-07,0.5263,19.0
53,09-08,0.8235,17.0
54,09-14,0.8617,94.0
55,09-15,0.8788,33.0
56,09-21,0.8333,30.0
57,09-22,1.0,8.0
58,09-28,0.8571,7.0
59,09-29,0.0,0.0
60,10-05,0.0,0.0
61,10-06,1.0,5.0
62,10-12,0.1,20.0
63,10-13,0.0,0.0
64,10-19,0.3333,6.0
65,10-20,0.8333,6.0
66,10-26,0.68,25.0
67,10-27,0.0,0.0
68,11-02,0.0,0.0
69,11-03,0.875,24.0
70,11-09,0.0,0.0
71,11-10,0.75,24.0
72,11-16,0.7083,24.0
73,11-17,0.0,0.0
74,11-23,0.7692,26.0
75,11-24,0.5,6.0
76,11-30,0.0,0.0
77,12-01,0.75,4.0
78,12-07,0.0,0.0
79,12-08,0.0,0.0
80,12-14,0.3333,18.0
81,12-15,0.0,0.0
82,12-21,1.0,2.0
83,12-22,0.0,0.0
84,12-28,0.0,0.0
85,12-29,0.0,0.0
86,01-04,0.0,0.0
87,01-05,0.0,0.0
88,01-11,0.0,0.0
89,01-12,1.0,20.0
90,01-18,0.913,23.0
91,01-19,0.7,20.0
92,02-02,0.8333,12.0
93,02-08,1.0,7.0
94,02-09,0.0,0.0
95,02-15,0.0,0.0
96,02-16,0.0,0.0
97,02-22,1.0,14.0
98,02-23,0.7561,41.0
99,02-29,0.0,0.0
100,03-01,0.7742,31.0
101,03-08,0.0,0.0
102,03-15,0.55,20.0
103,03-22,0.8929,28.0
104,03-29,0.8125,32.0
105,04-05,0.0,4.0
106,04-12,0.75,4.0
108,04-17,0.6667,30.0
109,04-18,0.625,8.0
