,date,sentiment_index,count
0,07-09,0.7018,57.0
1,07-08,0.9048,21.0
2,01-25,0.3333,24.0
3,01-26,1.0,2.0
4,02-01,0.3333,6.0
5,03-02,0.7033,91.0
6,03-09,0.9111,45.0
7,03-16,0.5972,72.0
8,03-23,0.9412,34.0
9,03-30,0.6429,14.0
10,04-06,0.7778,9.0
11,04-13,0.7273,22.0
12,04-20,0.0,0.0
13,04-27,0.6333,30.0
14,05-04,0.697,33.0
15,05-11,0.7273,77.0
16,05-18,0.8158,38.0
18,05-25,0.6944,36.0
19,05-26,0.0,0.0
20,06-01,0.9143,35.0
21,06-02,0.0,0.0
22,06-08,0.8298,47.0
23,06-09,0.8387,62.0
24,06-15,0.5593,59.0
25,06-16,0.8624,109.0
26,06-22,0.0,0.0
27,06-23,0.8333,6.0
28,06-29,0.8125,16.0
29,06-30,0.7727,22.0
30,07-06,0.6207,29.0
31,07-07,0.7885,52.0
32,07-13,0.8627,51.0
33,07-14,0.8776,49.0
34,07-20,0.2683,41.0
35,07-21,0.92,25.0
36,07-27,0.7778,27.0
37,07-28,0.8621,29.0
38,08-03,0.4348,69.0
39,08-04,0.5106,47.0
40,08-10,0.7,80.0
41,08-11,0.4667,45.0
42,08-17,0.7158,95.0
43,08-18,0.7955,44.0
44,08-24,0.7258,62.0
45,08-25,0.8947,19.0
46,08-31,0.8276,29.0
47,09-01,0.0,0.0
48,09-07,0.8889,27.0
49,09-08,0.8,65.0
50,09-14,0.6,45.0
51,09-15,0.5909,44.0
52,09-21,0.6471,17.0
53,09-22,1.0,2.0
54,09-28,0.8636,44.0
55,09-29,0.9333,15.0
56,10-05,0.75,32.0
57,10-06,0.8214,28.0
58,10-12,0.6415,53.0
59,10-13,0.0,0.0
60,10-19,0.9,30.0
61,10-20,0.6364,22.0
62,10-26,0.6923,13.0
63,10-27,0.0,0.0
64,11-02,0.0,0.0
65,11-03,0.7097,31.0
66,11-09,0.0,0.0
67,11-10,0.8571,35.0
68,11-16,0.7692,26.0
69,11-17,0.0,0.0
70,11-23,1.0,10.0
71,11-24,0.2727,22.0
72,11-30,0.0,0.0
73,12-01,0.7808,73.0
74,12-07,0.0,0.0
75,12-08,0.0,0.0
76,12-14,0.7692,26.0
77,12-15,0.0,0.0
78,12-21,0.6792,53.0
79,12-22,0.0,0.0
80,12-28,0.0,0.0
81,12-29,0.641,78.0
82,01-04,0.0,0.0
83,01-05,0.0,0.0
84,01-11,0.7755,49.0
85,01-12,0.7045,44.0
86,01-18,0.6569,102.0
87,01-19,0.8333,102.0
88,02-02,0.8654,52.0
89,02-08,0.8046,87.0
90,02-09,0.8,20.0
91,02-15,0.0,0.0
92,02-16,0.0,0.0
93,02-22,0.7619,21.0
94,02-23,0.6615,65.0
95,02-29,0.0,0.0
96,03-01,0.9302,43.0
97,03-08,0.0,0.0
98,03-15,0.7841,88.0
99,03-22,1.0,50.0
100,03-29,0.4419,43.0
101,04-05,0.9574,47.0
102,04-12,0.7955,44.0
103,04-19,0.9667,60.0
104,04-26,0.7333,45.0
105,05-03,0.4857,35.0
106,05-10,0.7807,114.0
107,05-15,0.8163,98.0
108,05-17,0.9286,56.0
109,05-20,0.8966,116.0
110,05-21,0.8333,18.0
111,05-22,0.8421,95.0
112,05-23,1.0,17.0
113,05-24,0.7805,41.0
114,05-27,0.0,0.0
115,05-28,0.0,0.0
116,05-29,0.0,0.0
117,05-30,0.0,0.0
118,05-31,0.9079,76.0
119,06-03,0.8929,28.0
120,06-04,0.8613,173.0
121,06-05,0.8889,18.0
122,06-06,0.8,30.0
123,06-07,0.8889,9.0
124,06-10,0.8095,42.0
125,06-11,0.7857,14.0
126,06-12,0.9744,39.0
127,06-13,0.8125,16.0
128,06-14,0.9231,13.0
129,06-17,0.7083,24.0
130,06-18,0.9143,35.0
131,06-19,0.2667,15.0
132,06-20,0.9091,11.0
133,06-21,1.0,1.0
134,06-24,0.7895,19.0
135,06-25,1.0,10.0
136,06-26,0.8571,28.0
137,06-27,0.6957,23.0
138,06-28,0.5714,7.0
139,07-01,0.6154,13.0
140,07-02,0.4286,7.0
141,07-03,0.875,8.0
142,07-04,0.8333,6.0
143,07-05,0.7407,27.0
144,07-10,0.875,24.0
145,07-11,0.8235,17.0
146,07-12,0.0,0.0
147,07-15,0.9,10.0
148,07-16,0.4,5.0
149,07-17,0.2,5.0
150,07-18,0.52,25.0
151,07-19,0.0,1.0
152,07-22,0.3333,6.0
153,07-23,0.4444,9.0
154,07-24,0.4,20.0
155,07-25,0.7222,18.0
156,07-26,0.0,2.0
157,07-29,0.5,24.0
158,07-30,0.2857,7.0
159,07-31,0.5714,42.0
160,08-01,0.5091,55.0
161,08-02,0.2222,18.0
162,08-05,0.6522,23.0
163,08-06,0.3889,18.0
164,08-07,0.6667,15.0
165,08-08,0.9091,33.0
166,08-09,0.9412,34.0
167,08-12,0.8,10.0
168,08-13,0.6944,36.0
169,08-14,0.6786,28.0
170,08-15,0.6316,19.0
171,08-16,0.9231,26.0
172,08-19,0.8065,31.0
173,08-20,0.6,10.0
174,08-21,0.8085,47.0
175,08-22,0.8571,28.0
176,08-23,1.0,1.0
177,08-26,0.8125,16.0
178,08-27,0.3333,6.0
179,08-28,0.36,25.0
180,08-29,0.8125,16.0
181,08-30,0.8,15.0
182,09-02,0.6667,12.0
183,09-03,0.4,5.0
184,09-04,0.7727,22.0
185,09-05,0.75,20.0
186,09-06,0.8636,22.0
187,09-09,0.9028,72.0
188,09-10,0.9333,30.0
189,09-11,0.7273,11.0
190,09-12,0.9583,48.0
191,09-13,0.75,8.0
192,09-16,0.8378,37.0
193,09-17,1.0,9.0
194,09-18,0.9677,62.0
195,09-19,0.8043,46.0
196,09-20,1.0,16.0
197,09-23,0.9167,48.0
198,09-24,0.5714,21.0
199,09-25,0.5,10.0
200,09-26,0.75,4.0
201,09-27,0.0,0.0
202,09-30,0.9048,21.0
203,10-01,0.7143,7.0
204,10-02,0.7059,17.0
205,10-03,1.0,7.0
206,10-04,1.0,10.0
207,10-07,0.5294,17.0
208,10-08,0.9231,26.0
209,10-09,0.84,25.0
210,10-10,0.7826,23.0
211,10-11,0.9348,46.0
212,10-14,0.9,20.0
213,10-15,0.1667,6.0
214,10-16,0.7727,22.0
215,10-17,1.0,19.0
216,10-18,0.8571,14.0
217,10-21,0.7187,32.0
