,date,sentiment_index,count
0,01-08,0.8831,77.0
1,01-15,0.7419,93.0
2,01-22,0.8235,17.0
3,01-29,0.9167,12.0
4,02-05,0.7619,126.0
5,02-12,1.0,10.0
6,02-19,0.75,20.0
7,02-26,0.8421,76.0
8,03-05,0.8571,84.0
9,03-12,0.8125,64.0
10,03-19,0.7391,23.0
11,03-22,0.9268,82.0
12,03-23,0.9444,18.0
13,03-24,0.8919,37.0
14,03-25,0.7778,9.0
15,03-26,0.85,20.0
16,03-29,0.5185,27.0
17,03-30,0.4375,16.0
18,03-31,0.7097,31.0
19,04-01,1.0,5.0
20,04-02,0.7647,17.0
21,04-05,1.0,4.0
22,04-06,0.8,15.0
23,04-07,0.9495,99.0
24,04-08,0.6364,11.0
25,04-09,0.9583,24.0
26,04-12,0.8627,51.0
27,04-13,0.6,5.0
28,04-14,0.6875,16.0
29,04-15,0.9062,32.0
30,04-16,0.9,20.0
31,04-19,0.7067,75.0
32,04-20,0.6129,31.0
33,04-21,0.28,25.0
34,04-22,0.55,40.0
35,04-23,0.8,25.0
36,04-26,0.8974,39.0
37,04-27,0.8378,37.0
38,04-28,0.8261,23.0
39,04-29,0.8354,79.0
40,04-30,0.6111,36.0
41,05-03,1.0,24.0
42,05-04,0.8235,34.0
43,05-05,0.7333,60.0
44,05-06,0.6494,77.0
45,05-07,0.9041,73.0
46,05-10,0.8072,83.0
47,05-11,0.825,40.0
48,05-12,0.9216,51.0
49,05-13,0.75,16.0
50,05-14,0.5,22.0
51,05-17,0.8421,19.0
52,05-18,0.625,8.0
53,05-19,0.875,32.0
54,05-20,0.8,20.0
55,05-21,0.75,8.0
56,05-24,0.92,25.0
57,05-25,0.5952,42.0
58,05-26,0.8824,17.0
59,05-27,0.913,23.0
60,05-28,0.8519,27.0
61,05-31,0.4828,29.0
62,06-01,0.5882,34.0
63,06-02,0.8,35.0
64,06-03,0.25,12.0
65,06-04,0.9479,96.0
66,06-07,0.8929,56.0
67,06-08,0.7143,56.0
68,06-09,0.9268,41.0
69,06-10,0.8095,21.0
70,06-11,0.9412,34.0
71,06-14,0.9048,42.0
72,06-15,1.0,17.0
73,06-16,0.9722,36.0
74,06-17,0.8857,35.0
75,06-18,0.875,32.0
76,06-21,0.9545,22.0
77,06-22,0.7778,72.0
78,06-23,0.8,25.0
79,06-24,0.9474,19.0
80,06-25,0.8889,9.0
81,06-28,0.8548,62.0
82,06-29,0.8,20.0
83,06-30,0.3485,66.0
84,07-01,0.6154,104.0
85,07-02,0.4706,51.0
86,07-05,0.7115,52.0
87,07-06,0.7863,117.0
88,07-07,0.8559,118.0
89,07-08,0.7614,88.0
90,07-09,0.4545,88.0
91,07-12,0.9286,56.0
92,07-13,0.8929,28.0
93,07-14,0.7708,48.0
94,07-15,0.5833,12.0
95,07-16,0.7561,41.0
96,07-19,0.6463,82.0
97,07-20,0.6452,31.0
98,07-21,0.8,40.0
99,07-22,0.8182,44.0
100,07-23,0.8108,37.0
101,07-27,0.8955,67.0
102,07-28,0.9091,22.0
103,07-29,0.9667,30.0
104,07-30,0.8049,82.0
105,08-02,0.8082,73.0
106,08-03,0.8077,26.0
107,08-04,0.9091,77.0
108,08-05,0.8548,62.0
109,08-06,0.88,125.0
110,08-09,0.95,60.0
111,08-10,0.875,32.0
112,08-11,0.9118,34.0
113,08-12,0.5862,58.0
114,08-13,0.8431,51.0
115,08-16,0.9677,31.0
116,08-17,1.0,6.0
