,date,sentiment_index,count
0,01-08,0.0,0.0
1,01-15,0.2,5.0
2,01-22,0.4545,11.0
3,01-29,0.8621,29.0
4,02-05,0.8649,37.0
5,02-12,0.0,0.0
6,02-19,0.6471,17.0
7,02-26,0.8791,91.0
8,03-05,0.9667,30.0
9,03-12,0.84,25.0
10,03-19,0.75,68.0
11,03-26,0.4167,72.0
12,04-02,0.5067,75.0
13,04-09,0.5238,21.0
14,04-16,0.6,10.0
15,04-23,0.7027,111.0
16,04-30,0.6154,26.0
17,05-07,0.5429,35.0
18,05-14,0.6,10.0
19,05-21,0.9,10.0
20,05-28,0.575,40.0
21,06-04,0.5238,42.0
22,06-11,1.0,22.0
23,06-14,0.8108,37.0
24,06-15,0.7143,7.0
25,06-16,0.8704,54.0
26,06-17,0.5625,16.0
27,06-18,0.6429,14.0
28,06-21,0.8421,57.0
29,06-22,0.6923,26.0
30,06-23,0.6349,63.0
31,06-24,0.6316,19.0
32,06-25,0.8519,27.0
33,06-28,0.8143,70.0
34,06-29,0.8738,103.0
35,06-30,0.7778,45.0
36,07-01,0.6786,56.0
37,07-02,0.7656,64.0
38,07-05,0.5714,35.0
39,07-06,0.7778,72.0
40,07-07,0.8085,47.0
41,07-08,0.2759,29.0
42,07-09,0.7447,47.0
43,07-12,0.7925,53.0
44,07-13,0.7632,38.0
45,07-14,0.3333,36.0
46,07-15,0.1,30.0
47,07-16,0.4231,26.0
48,07-19,0.35,60.0
49,07-20,0.4412,34.0
50,07-21,0.5312,32.0
51,07-22,0.3191,47.0
52,07-23,0.5,14.0
53,07-27,0.5714,7.0
54,07-28,0.6923,13.0
55,07-29,0.375,16.0
56,07-30,0.3182,22.0
57,08-02,0.8333,18.0
58,08-03,0.5,18.0
59,08-04,0.8182,11.0
60,08-05,0.8,50.0
61,08-06,0.8333,12.0
62,08-09,0.8214,56.0
63,08-10,0.8511,47.0
64,08-11,0.7949,39.0
65,08-12,0.6786,28.0
66,08-13,0.9067,75.0
67,08-16,0.6538,26.0
68,08-17,0.9615,26.0
69,08-18,0.84,175.0
70,08-19,0.5595,168.0
71,08-20,0.5455,11.0
72,08-23,0.6957,138.0
73,08-24,0.5882,17.0
74,08-25,1.0,29.0
75,08-26,0.7586,29.0
76,08-27,0.5789,19.0
77,08-30,0.7647,34.0
78,08-31,0.6,10.0
79,09-01,0.3684,19.0
80,09-02,0.7778,9.0
81,09-03,0.9286,14.0
82,09-06,0.6667,45.0
83,09-07,0.6667,9.0
84,09-08,0.7692,13.0
85,09-09,0.6885,61.0
86,09-10,0.8947,19.0
87,09-13,0.8649,37.0
88,09-14,0.0,0.0
89,09-15,0.0,0.0
90,09-16,0.6,60.0
91,09-17,0.4545,22.0
92,09-22,0.5,2.0
93,09-23,0.0,0.0
94,09-24,0.9375,16.0
95,09-27,0.7931,29.0
96,09-28,1.0,22.0
97,09-29,1.0,6.0
98,09-30,0.9565,69.0
99,10-01,0.8333,24.0
100,10-04,0.4783,23.0
101,10-05,-0.1429,7.0
102,10-06,0.75,48.0
103,10-07,0.6667,24.0
104,10-08,0.7143,7.0
105,10-11,0.6842,19.0
106,10-12,1.0,11.0
107,10-13,0.95,20.0
108,10-14,0.7778,9.0
109,10-22,0.5333,15.0
110,10-15,-0.5714,7.0
111,10-18,0.25,8.0
112,10-19,1.0,5.0
113,10-20,1.0,4.0
114,10-21,0.6667,12.0
115,10-25,0.0,0.0
116,10-26,0.0,6.0
117,10-27,0.8889,9.0
118,10-28,1.0,18.0
119,10-29,0.9091,22.0
120,11-01,0.8261,23.0
121,11-02,0.5,4.0
122,11-03,1.0,20.0
123,11-04,0.8704,54.0
124,11-05,0.9362,47.0
125,11-08,0.8095,42.0
126,11-09,0.8889,18.0
127,11-10,0.6333,30.0
128,11-11,0.8333,60.0
129,11-12,0.7143,42.0
130,11-15,0.8,15.0
131,11-16,0.8947,19.0
132,11-17,0.9524,21.0
133,11-18,0.7,10.0
134,11-19,0.7143,7.0
135,11-22,0.5745,47.0
136,11-23,0.875,8.0
137,11-24,0.5333,15.0
138,11-25,0.7895,19.0
139,11-26,0.7692,26.0
140,11-29,0.5385,13.0
141,11-30,0.8261,23.0
142,12-01,0.7586,29.0
143,12-02,0.8485,66.0
144,12-03,0.8372,43.0
145,12-06,0.9286,56.0
146,12-07,0.8182,22.0
147,12-08,0.76,25.0
148,12-09,0.7647,17.0
149,12-10,0.5556,9.0
150,12-13,0.8548,62.0
151,12-14,0.5,14.0
152,12-15,0.375,8.0
153,12-16,0.84,25.0
154,12-17,0.7647,17.0
155,12-20,0.8667,45.0
156,12-21,0.4444,9.0
157,12-22,0.8571,7.0
158,12-23,0.375,8.0
159,12-24,0.6667,9.0
160,12-27,0.6667,36.0
161,12-28,0.5417,24.0
162,12-29,0.3333,6.0
163,12-30,0.8846,26.0
164,12-31,0.8261,23.0
165,01-03,0.6875,16.0
166,01-04,0.3636,33.0
167,01-05,1.0,2.0
168,01-06,0.575,40.0
169,01-07,0.7273,22.0
170,01-10,1.0,45.0
171,01-11,0.7812,32.0
172,01-12,1.0,11.0
173,01-13,0.7391,23.0
174,01-14,1.0,1.0
175,01-17,0.7241,29.0
176,01-18,1.0,2.0
177,01-19,1.0,12.0
178,01-20,0.2857,7.0
179,01-21,1.0,1.0
180,01-24,0.1111,9.0
181,01-25,0.0,0.0
182,01-26,0.0,1.0
183,01-27,0.0,0.0
184,01-28,0.8235,34.0
185,01-31,1.0,4.0
186,02-01,0.0,0.0
187,02-02,0.0,0.0
188,02-03,1.0,2.0
189,02-04,0.0,0.0
190,02-07,0.8,35.0
191,02-08,0.7436,39.0
192,02-09,1.0,10.0
193,02-10,0.9091,33.0
194,02-11,0.9231,13.0
195,02-14,0.7541,61.0
196,02-15,0.7742,31.0
197,02-16,0.7105,38.0
198,02-17,0.5,10.0
199,02-18,0.7027,37.0
200,02-21,0.7143,49.0
201,02-22,0.8,15.0
202,02-23,0.7647,17.0
203,02-24,0.6538,26.0
204,02-25,0.8889,9.0
205,02-28,0.48,25.0
206,03-01,1.0,2.0
207,03-02,0.6667,33.0
208,03-03,1.0,1.0
209,03-04,0.7143,28.0
210,03-07,0.6129,62.0
211,03-08,0.8182,11.0
212,03-09,0.6154,13.0
213,03-10,0.3103,29.0
214,03-11,0.8529,34.0
215,03-14,0.7826,23.0
216,03-15,0.5532,47.0
217,03-16,0.6931,101.0
218,03-17,0.25,24.0
219,03-18,0.9231,13.0
220,03-21,0.5135,37.0
221,03-22,-0.1667,6.0
222,03-23,0.25,4.0
223,03-24,0.7436,39.0
224,03-25,0.25,4.0
225,03-28,0.5116,43.0
226,03-29,0.7241,29.0
227,03-30,0.7241,29.0
228,03-31,0.5833,48.0
229,04-01,0.5185,27.0
230,04-04,0.6071,28.0
231,04-05,0.625,8.0
232,04-06,1.0,16.0
233,04-07,0.1818,33.0
