,date,sentiment_index,count
0,01-22,0.0,12.0
1,01-29,0.3333,3.0
2,02-05,1.0,1.0
3,03-19,0.9412,17.0
4,03-26,0.0,3.0
5,04-02,0.5,4.0
6,04-09,0.5,2.0
7,04-16,0.7059,17.0
8,04-23,0.8437,32.0
9,04-30,1.0,12.0
10,05-07,0.4697,66.0
11,05-14,0.5,14.0
12,05-21,0.3333,6.0
13,05-28,1.0,4.0
14,06-04,1.0,4.0
15,06-11,1.0,9.0
16,06-18,0.6667,12.0
17,06-25,0.4545,11.0
18,07-02,1.0,14.0
19,07-09,1.0,2.0
20,07-16,0.6,5.0
21,07-23,0.0,3.0
22,07-30,0.6111,18.0
23,08-06,0.6667,6.0
24,08-13,1.0,4.0
25,08-20,0.125,8.0
26,08-27,-0.2,5.0
27,09-03,0.6667,9.0
28,09-10,0.0,0.0
29,09-17,0.6667,6.0
30,09-24,0.5714,7.0
31,10-01,0.3636,11.0
32,10-08,0.4,10.0
33,10-22,1.0,5.0
34,10-15,0.3684,19.0
35,10-29,1.0,1.0
36,11-05,0.75,12.0
37,11-12,1.0,4.0
38,11-19,0.5714,14.0
39,11-26,1.0,1.0
40,12-03,0.0,3.0
41,12-10,0.8,5.0
42,12-17,0.6667,3.0
43,12-24,1.0,3.0
44,12-31,0.6667,3.0
45,01-07,1.0,4.0
46,01-14,1.0,4.0
47,01-21,1.0,10.0
48,01-28,0.0,0.0
49,02-04,0.0,0.0
50,02-11,0.8571,14.0
51,02-18,1.0,6.0
52,02-25,1.0,3.0
54,03-25,0.0,1.0
55,04-01,-0.3333,3.0
56,04-08,0.4444,18.0
57,04-15,0.75,4.0
58,04-22,1.0,1.0
59,04-29,1.0,5.0
60,05-06,0.7143,7.0
61,05-13,0.9091,11.0
62,05-20,0.3333,3.0
63,05-27,0.0,3.0
64,06-03,0.75,4.0
65,06-10,0.6,25.0
66,06-17,0.5,4.0
67,06-24,-0.1,10.0
68,07-01,0.5,2.0
69,07-08,0.3333,6.0
70,07-15,0.7059,17.0
71,07-22,0.1333,15.0
72,07-29,0.0,0.0
73,08-05,0.0,0.0
74,08-12,0.0,0.0
75,08-19,0.0,0.0
76,08-26,0.6667,9.0
77,09-02,0.0,0.0
78,09-09,0.0,0.0
79,09-16,0.0,1.0
80,09-23,1.0,3.0
81,09-30,1.0,1.0
82,10-07,1.0,6.0
83,10-14,1.0,1.0
84,10-21,0.0,1.0
85,10-28,0.0,0.0
86,11-04,0.3333,6.0
87,11-11,0.875,8.0
88,11-18,0.1333,15.0
89,11-25,-0.5714,7.0
90,12-02,0.5714,7.0
91,12-09,1.0,3.0
92,12-16,1.0,7.0
93,12-23,0.0,2.0
94,12-30,0.0,0.0
95,01-06,0.0,0.0
96,01-13,0.0,0.0
97,01-20,1.0,1.0
98,01-23,1.0,2.0
99,01-24,0.0,0.0
100,01-25,0.0,0.0
101,01-26,0.0,0.0
102,01-27,0.0,0.0
103,01-30,0.0769,13.0
104,01-31,0.0,0.0
105,02-01,0.5,4.0
106,02-03,1.0,2.0
107,02-10,0.0,0.0
108,02-17,1.0,5.0
109,02-24,0.8889,9.0
110,03-02,1.0,4.0
111,03-03,0.6667,3.0
112,03-09,0.25,16.0
113,03-10,0.0,0.0
114,03-16,0.8,15.0
115,03-17,0.0,0.0
116,03-20,0.6667,6.0
117,03-21,1.0,2.0
