,date,sentiment_index,count
0,01-22,1.0,5.0
1,01-29,0.6923,13.0
2,02-05,1.0,7.0
4,04-02,1.0,4.0
5,04-09,0.9,10.0
6,04-16,0.0,0.0
7,04-23,0.0,0.0
8,04-30,0.5,2.0
9,05-07,0.9474,19.0
10,05-14,0.0,0.0
11,05-21,0.6,5.0
12,05-28,0.5,2.0
13,06-04,0.5,8.0
14,06-11,0.875,16.0
15,06-18,0.0,0.0
16,06-25,0.0,0.0
17,07-02,0.0,1.0
18,07-09,1.0,4.0
19,07-16,1.0,4.0
20,07-23,0.0,0.0
21,07-30,1.0,2.0
22,08-06,1.0,3.0
23,08-13,0.3333,3.0
24,08-20,0.0,0.0
25,08-27,0.5,2.0
26,09-03,1.0,8.0
27,09-10,1.0,12.0
28,09-17,0.0,0.0
29,09-24,0.0,1.0
30,10-01,0.0,1.0
31,10-08,1.0,20.0
32,10-22,0.25,4.0
33,10-15,0.0,1.0
34,10-29,0.0,0.0
35,11-05,1.0,2.0
36,11-12,0.0,0.0
37,11-19,1.0,2.0
38,11-26,0.0,0.0
39,12-03,1.0,2.0
40,12-10,0.625,8.0
41,12-17,0.0,2.0
42,12-24,0.875,8.0
43,12-31,0.0,0.0
44,01-07,0.0,0.0
45,01-14,0.0,0.0
46,01-21,0.0,0.0
47,01-28,0.0,0.0
48,02-04,0.0,0.0
49,02-11,0.0,0.0
50,02-18,0.8333,6.0
51,02-25,1.0,2.0
52,04-01,0.0,0.0
53,04-08,1.0,11.0
54,04-15,0.75,8.0
55,04-22,0.0,1.0
56,04-29,0.625,8.0
57,05-06,0.7,10.0
58,05-13,1.0,2.0
59,05-20,0.0,1.0
60,05-27,0.6667,15.0
61,06-03,1.0,6.0
62,06-10,0.0,0.0
63,06-17,1.0,3.0
64,06-24,0.5,4.0
65,07-01,0.0,0.0
66,07-08,1.0,4.0
67,07-15,0.0,0.0
68,07-22,1.0,2.0
69,07-29,1.0,4.0
70,08-05,1.0,1.0
71,08-12,0.0,1.0
72,08-19,0.0,0.0
73,08-26,0.6667,3.0
74,09-02,0.6667,3.0
75,09-09,1.0,3.0
76,09-16,0.5,4.0
77,09-23,1.0,2.0
78,09-30,-1.0,1.0
79,10-07,1.0,1.0
80,10-14,1.0,2.0
81,10-21,1.0,1.0
82,10-28,1.0,1.0
83,11-04,0.6667,3.0
84,11-11,0.6667,3.0
85,11-18,0.0,0.0
86,11-25,0.7692,13.0
87,12-02,0.0,0.0
88,12-09,0.0,0.0
89,12-16,0.0,0.0
90,12-23,0.0,0.0
91,12-30,1.0,2.0
92,01-06,1.0,5.0
93,01-13,0.2222,9.0
94,01-20,0.0,1.0
95,01-23,0.0,0.0
96,01-24,0.0,0.0
97,01-25,0.0,0.0
98,01-26,0.0,0.0
99,01-27,0.0,0.0
100,01-30,0.0,0.0
101,01-31,0.0,2.0
102,02-01,0.0,0.0
103,02-03,0.0,2.0
104,02-10,1.0,4.0
105,02-17,1.0,1.0
106,02-24,0.6667,3.0
107,03-02,1.0,5.0
108,03-03,0.0,0.0
109,03-09,0.9524,21.0
110,03-10,0.0,0.0
111,03-16,0.0,1.0
112,03-17,0.0,0.0
113,03-23,1.0,1.0
114,03-24,0.5,2.0
115,03-27,0.5,2.0
116,03-28,0.0,0.0
117,03-29,0.75,4.0
118,03-30,0.0,0.0
119,03-31,0.0,0.0
120,04-03,0.3333,3.0
