,date,sentiment_index,count
0,01-25,0.0,0.0
1,01-26,0.0,0.0
2,02-01,0.0,0.0
3,03-02,1.0,5.0
4,03-09,0.9524,21.0
5,03-16,0.0,1.0
6,03-23,1.0,1.0
7,03-30,0.0,0.0
8,04-06,0.0,0.0
9,04-13,0.0,0.0
10,04-20,0.0,0.0
11,04-27,0.7,10.0
12,05-04,1.0,4.0
13,05-11,0.0,0.0
14,05-18,0.0,0.0
15,05-25,1.0,1.0
16,06-01,1.0,2.0
17,06-08,1.0,5.0
18,06-15,0.3333,3.0
19,06-22,0.0,0.0
20,06-29,0.0,0.0
21,07-06,1.0,2.0
22,07-13,0.0,0.0
23,07-20,1.0,1.0
24,07-27,0.9474,19.0
25,08-03,1.0,7.0
26,08-10,0.7273,11.0
27,08-17,0.6154,13.0
28,08-24,0.0,0.0
29,08-31,1.0,1.0
30,09-01,0.0,0.0
31,09-07,0.0,0.0
32,09-08,0.6667,6.0
33,09-14,0.6667,3.0
34,09-15,1.0,3.0
35,09-21,0.0,0.0
36,09-22,0.0,0.0
37,09-28,0.0,0.0
38,09-29,0.0,0.0
39,10-05,0.0,0.0
40,10-06,1.0,10.0
41,10-12,1.0,2.0
42,10-13,0.0,0.0
43,10-19,0.2308,13.0
44,10-20,-1.0,1.0
45,10-26,0.625,8.0
46,10-27,0.0,0.0
47,11-02,0.0,0.0
48,11-03,1.0,1.0
49,11-09,0.0,0.0
50,11-10,0.0,0.0
51,11-16,0.0,0.0
52,11-17,0.0,0.0
53,11-23,0.0,0.0
54,11-24,0.0,0.0
55,11-30,0.0,0.0
56,12-01,0.0,0.0
57,12-07,0.0,0.0
58,12-08,0.0,0.0
59,12-14,0.0,0.0
60,12-15,0.0,0.0
61,12-21,0.0,0.0
62,12-22,0.0,0.0
63,12-28,0.0,0.0
64,12-29,1.0,7.0
65,01-04,0.0,0.0
66,01-05,0.0,0.0
67,01-11,1.0,1.0
68,01-12,0.0,1.0
69,01-18,1.0,4.0
70,01-19,0.88,25.0
71,02-02,0.5833,12.0
72,02-08,1.0,6.0
73,02-09,0.0,0.0
74,02-15,0.0,0.0
75,02-16,0.0,0.0
76,02-22,0.8333,6.0
77,02-23,1.0,5.0
78,02-29,0.0,0.0
79,03-01,0.7273,11.0
80,03-08,0.0,0.0
81,03-15,1.0,2.0
82,03-22,1.0,3.0
83,03-29,0.0,0.0
84,04-05,0.0,4.0
85,04-12,0.75,4.0
86,04-19,0.0,1.0
87,04-26,0.6667,15.0
88,05-03,0.0,2.0
89,05-10,0.0,1.0
90,05-15,0.8571,21.0
91,05-17,1.0,1.0
92,05-24,0.9091,11.0
93,05-31,1.0,7.0
94,06-07,0.75,8.0
95,06-14,0.0,1.0
96,06-21,0.0,0.0
97,06-28,0.0,0.0
98,07-05,0.0,0.0
99,07-12,0.0,0.0
100,07-19,0.0,0.0
101,07-26,0.0,1.0
102,08-02,0.0,1.0
103,08-09,1.0,6.0
104,08-12,0.0,0.0
105,08-16,1.0,2.0
106,08-23,1.0,4.0
108,08-29,0.0,0.0
109,08-30,0.375,8.0
110,09-02,0.0,2.0
111,09-03,1.0,1.0
112,09-04,0.0,0.0
113,09-05,1.0,1.0
114,09-06,1.0,3.0
115,09-09,1.0,10.0
116,09-10,1.0,3.0
117,09-11,0.0,0.0
118,09-12,0.6667,6.0
119,09-13,0.8333,12.0
120,09-16,0.0,0.0
121,09-17,0.0,0.0
122,09-18,0.0,0.0
123,09-19,1.0,11.0
124,09-20,0.7619,21.0
125,09-23,1.0,10.0
126,09-24,1.0,3.0
127,09-25,1.0,2.0
128,09-26,0.0,0.0
129,09-27,0.0,0.0
130,09-30,1.0,1.0
131,10-01,0.0,0.0
132,10-02,0.0,0.0
133,10-03,1.0,1.0
134,10-04,0.75,4.0
135,10-07,0.875,8.0
136,10-08,0.8333,6.0
137,10-09,1.0,2.0
138,10-10,0.0,0.0
139,10-11,1.0,5.0
140,10-14,0.0,0.0
141,10-15,0.5,4.0
142,10-16,0.0,0.0
143,10-17,0.0,0.0
144,10-18,0.0,1.0
145,10-21,0.0,0.0
146,10-22,0.5,6.0
147,10-23,0.0,1.0
148,10-24,0.3333,3.0
149,10-25,0.25,4.0
150,10-28,0.0,3.0
151,10-29,0.6667,3.0
152,10-30,0.5714,7.0
153,10-31,0.3846,13.0
154,11-01,0.0,1.0
155,11-04,0.5714,7.0
156,11-05,0.0,2.0
157,11-06,0.0,3.0
158,11-07,1.0,2.0
159,11-08,0.0,0.0
160,11-11,0.0,0.0
161,11-12,0.0,0.0
162,11-13,0.0,0.0
163,11-14,0.0,0.0
164,11-15,0.0,0.0
165,11-18,0.0,0.0
166,11-19,0.0,0.0
167,11-20,0.0,1.0
168,11-21,0.0,0.0
169,11-22,1.0,1.0
170,11-25,0.5,2.0
171,11-26,0.0,0.0
172,11-27,0.0,0.0
173,11-28,0.0,0.0
