,date,sentiment_index,count
0,01-22,1.0,5.0
1,01-29,0.6923,13.0
2,02-05,1.0,7.0
3,07-09,1.0,4.0
4,10-22,0.25,4.0
5,10-15,0.0,1.0
6,10-29,0.0,0.0
7,11-05,1.0,2.0
8,11-12,0.0,0.0
9,11-19,1.0,2.0
10,11-26,0.0,0.0
11,12-03,1.0,2.0
12,12-10,0.625,8.0
13,12-17,0.0,2.0
14,12-24,0.875,8.0
15,12-31,0.0,0.0
16,01-07,0.0,0.0
17,01-14,0.0,0.0
18,01-21,0.0,0.0
19,01-28,0.0,0.0
20,02-04,0.0,0.0
21,02-11,0.0,0.0
22,02-18,0.8333,6.0
23,02-25,1.0,2.0
24,07-08,1.0,4.0
25,10-14,1.0,2.0
26,10-21,1.0,1.0
27,10-28,1.0,1.0
28,11-04,0.6667,3.0
29,11-11,0.6667,3.0
30,11-18,0.0,0.0
31,11-25,0.7692,13.0
32,12-02,0.0,0.0
33,12-09,0.0,0.0
34,12-16,0.0,0.0
35,12-23,0.0,0.0
36,12-30,1.0,2.0
37,01-06,1.0,5.0
38,01-13,0.2222,9.0
39,01-20,0.0,1.0
40,01-23,0.0,0.0
41,01-24,0.0,0.0
42,01-25,0.0,0.0
43,01-26,0.0,0.0
44,01-27,0.0,0.0
45,01-30,0.0,0.0
46,01-31,0.0,2.0
47,02-01,0.0,0.0
48,02-03,0.0,2.0
49,02-10,1.0,4.0
50,02-17,1.0,1.0
51,02-24,0.6667,3.0
52,03-02,1.0,5.0
53,03-03,0.0,0.0
54,03-09,0.9524,21.0
55,03-10,0.0,0.0
56,03-16,0.0,1.0
57,03-17,0.0,0.0
58,03-23,1.0,1.0
59,03-24,0.5,2.0
60,03-30,0.0,0.0
61,03-31,0.0,0.0
62,04-06,0.0,0.0
63,04-07,0.0,0.0
64,04-13,0.0,0.0
65,04-14,0.0,0.0
66,04-20,0.0,0.0
67,04-21,0.0,0.0
68,04-27,0.7,10.0
69,04-28,0.75,4.0
70,05-04,1.0,4.0
71,05-05,0.0,1.0
72,05-11,0.0,0.0
73,05-12,0.0,0.0
74,05-18,0.0,0.0
75,05-19,0.0,0.0
76,05-25,1.0,1.0
77,05-26,0.0,0.0
78,06-01,1.0,2.0
79,06-02,0.0,0.0
80,06-08,1.0,5.0
81,06-09,1.0,1.0
82,06-15,0.3333,3.0
83,06-16,0.5,2.0
84,06-22,0.0,0.0
85,06-23,1.0,1.0
86,06-29,0.0,0.0
87,06-30,0.0,3.0
88,07-06,1.0,2.0
89,07-07,0.6667,3.0
90,07-13,0.0,0.0
91,07-14,0.0,0.0
92,07-20,1.0,1.0
93,07-21,1.0,5.0
94,07-27,0.9474,19.0
95,07-28,1.0,1.0
96,08-03,1.0,7.0
97,08-04,0.6667,3.0
98,08-10,0.7273,11.0
99,08-11,0.0,0.0
100,08-17,0.6154,13.0
101,08-18,0.0,1.0
102,08-24,0.0,0.0
103,08-25,0.0,0.0
104,08-31,1.0,1.0
105,09-01,0.0,0.0
106,09-07,0.0,0.0
107,09-08,0.6667,6.0
108,09-14,0.6667,3.0
109,09-15,1.0,3.0
110,09-21,0.0,0.0
111,09-22,0.0,0.0
112,09-28,0.0,0.0
113,09-29,0.0,0.0
114,10-05,0.0,0.0
115,10-06,1.0,10.0
117,10-11,0.0,0.0
118,10-12,1.0,2.0
119,10-13,0.0,0.0
120,10-16,0.0,0.0
