,date,sentiment_index,count
0,01-08,0.7805,41.0
1,01-15,0.4706,17.0
2,01-22,0.2,5.0
3,01-29,0.625,8.0
4,02-05,0.72,25.0
5,02-12,0.6,5.0
6,02-19,0.8125,16.0
7,02-26,0.6538,26.0
8,03-05,0.7407,27.0
9,03-12,0.725,40.0
10,03-19,0.8108,37.0
11,03-26,0.6667,30.0
12,04-02,0.7778,9.0
13,04-09,0.75,36.0
14,04-16,0.5909,22.0
15,04-23,1.0,4.0
16,04-30,0.6,15.0
17,05-07,0.8333,42.0
18,05-14,0.8,25.0
19,05-21,-0.4545,11.0
20,05-28,0.4419,43.0
21,06-04,0.7143,21.0
22,06-11,0.4085,71.0
23,06-18,0.5556,9.0
24,06-25,0.0833,12.0
25,07-02,0.4286,21.0
26,07-09,0.7273,11.0
27,07-16,0.4516,31.0
28,07-23,0.8182,11.0
29,07-30,1.0,1.0
30,08-06,0.875,40.0
31,08-13,0.7879,33.0
32,08-20,0.5937,32.0
33,08-27,0.6364,11.0
34,09-03,0.75,4.0
35,09-10,0.8056,36.0
36,09-17,0.5,24.0
37,09-24,0.5882,17.0
38,10-01,0.4,10.0
39,10-08,0.75,56.0
40,10-22,0.2963,27.0
41,10-15,0.5556,9.0
42,10-29,0.8333,6.0
43,11-05,0.7368,19.0
44,11-12,0.6842,57.0
45,11-19,0.75,28.0
46,11-26,0.6111,18.0
48,12-03,0.3636,11.0
49,12-06,0.7021,47.0
50,12-07,0.5385,13.0
51,12-08,0.9643,28.0
52,12-09,0.6875,16.0
53,12-10,0.8571,21.0
54,12-13,0.75,20.0
55,12-14,0.6429,14.0
56,12-15,0.9091,11.0
57,12-16,0.7551,49.0
58,12-17,0.8421,19.0
59,12-20,0.5,20.0
60,12-21,0.6667,27.0
61,12-22,0.5,18.0
62,12-23,0.6,5.0
63,12-24,0.4286,14.0
64,12-27,0.8947,19.0
65,12-28,0.7647,17.0
66,12-29,0.5,28.0
67,12-30,0.5714,21.0
68,12-31,0.25,4.0
69,01-03,0.5238,21.0
70,01-04,0.7,20.0
71,01-05,0.625,8.0
72,01-06,0.9333,15.0
73,01-07,0.9231,13.0
74,01-10,0.7097,31.0
75,01-11,0.85,20.0
76,01-12,0.6154,13.0
77,01-13,0.3333,6.0
78,01-14,0.72,25.0
79,01-17,0.8889,18.0
80,01-18,1.0,4.0
81,01-19,0.7143,7.0
82,01-20,0.5,2.0
83,01-21,0.7368,19.0
84,01-24,0.8,5.0
85,01-25,0.4762,21.0
86,01-26,0.8333,12.0
87,01-27,0.5714,7.0
88,01-28,0.0,1.0
89,01-31,0.0,1.0
90,02-01,0.0,0.0
91,02-02,0.0,0.0
92,02-03,-1.0,1.0
93,02-04,0.0,0.0
94,02-07,0.3158,19.0
95,02-08,0.25,4.0
96,02-09,0.8182,33.0
97,02-10,0.7143,14.0
98,02-11,0.9286,14.0
99,02-14,0.8214,28.0
100,02-15,0.8214,28.0
101,02-16,0.6429,14.0
102,02-17,0.5,10.0
103,02-18,0.875,8.0
104,02-21,0.8679,53.0
105,02-22,0.7143,21.0
106,02-23,0.6897,29.0
107,02-24,0.8889,18.0
108,02-25,0.3333,3.0
109,02-28,0.2,5.0
110,03-01,0.5,8.0
111,03-02,0.7895,19.0
112,03-03,1.0,5.0
113,03-04,0.75,24.0
114,03-07,0.5556,9.0
115,03-08,0.8889,27.0
116,03-09,1.0,1.0
117,03-10,0.6667,24.0
118,03-11,0.75,16.0
119,03-14,0.7,10.0
120,03-15,0.5714,14.0
121,03-16,1.0,1.0
122,03-17,0.6667,9.0
