,date,sentiment_index,count
0,01-08,0.7805,41.0
1,01-15,0.4706,17.0
2,01-22,0.2,5.0
3,01-29,0.625,8.0
4,02-05,0.72,25.0
5,02-12,0.6,5.0
6,02-19,0.8125,16.0
7,02-26,0.6538,26.0
8,03-05,0.7407,27.0
9,03-12,0.725,40.0
10,03-19,0.8108,37.0
11,03-26,0.6667,30.0
12,04-02,0.7778,9.0
13,04-09,0.75,36.0
14,04-16,0.5909,22.0
15,04-23,1.0,4.0
16,04-30,0.6,15.0
17,05-07,0.8333,42.0
18,05-14,0.8,25.0
19,05-21,-0.4545,11.0
20,05-28,0.4419,43.0
21,06-04,0.7143,21.0
22,06-11,0.4085,71.0
23,06-18,0.5556,9.0
24,06-25,0.0833,12.0
25,07-02,0.4286,21.0
26,07-09,0.7273,11.0
27,07-16,0.4516,31.0
28,07-23,0.8182,11.0
29,07-30,1.0,1.0
30,08-06,0.875,40.0
31,08-13,0.7879,33.0
32,08-20,0.5937,32.0
33,08-27,0.6364,11.0
34,09-03,0.75,4.0
35,09-10,0.8056,36.0
36,09-17,0.5,24.0
37,09-24,0.5882,17.0
38,10-01,0.4,10.0
39,10-04,0.7143,21.0
40,10-05,0.875,48.0
41,10-06,0.878,41.0
42,10-07,0.8,20.0
43,10-08,0.75,56.0
44,10-11,0.5714,21.0
45,10-12,0.4286,7.0
46,10-13,0.7778,9.0
47,10-14,0.6667,24.0
48,10-22,0.2963,27.0
49,10-15,0.5556,9.0
50,10-18,0.963,27.0
51,10-19,0.875,8.0
52,10-20,0.9,10.0
53,10-21,0.5172,29.0
54,10-25,0.7619,21.0
55,10-26,0.8095,21.0
56,10-27,0.5,10.0
57,10-28,0.6935,62.0
58,10-29,0.8333,6.0
59,11-01,0.8125,16.0
60,11-02,0.9231,13.0
61,11-03,0.8182,22.0
62,11-04,0.6429,14.0
63,11-05,0.7368,19.0
64,11-08,0.9655,29.0
65,11-09,0.4286,7.0
66,11-10,0.8182,11.0
67,11-11,0.8846,26.0
68,11-12,0.6842,57.0
69,11-15,0.8214,28.0
70,11-16,0.2667,15.0
71,11-17,0.6154,13.0
72,11-18,1.0,6.0
73,11-19,0.75,28.0
74,11-22,0.7895,19.0
75,11-23,0.7959,49.0
76,11-24,0.8667,15.0
77,11-25,0.7143,7.0
78,11-26,0.6111,18.0
79,11-29,1.0,5.0
80,11-30,0.2667,15.0
81,12-01,0.6667,15.0
82,12-02,0.0,0.0
83,12-03,0.3636,11.0
84,12-06,0.7021,47.0
85,12-07,0.5385,13.0
86,12-08,0.9643,28.0
87,12-09,0.6875,16.0
88,12-10,0.8571,21.0
89,12-13,0.75,20.0
90,12-14,0.6429,14.0
91,12-15,0.9091,11.0
92,12-16,0.7551,49.0
93,12-17,0.8421,19.0
94,12-20,0.5,20.0
95,12-21,0.6667,27.0
96,12-22,0.5,18.0
97,12-23,0.6,5.0
98,12-24,0.4286,14.0
99,12-27,0.8947,19.0
100,12-28,0.7647,17.0
101,12-29,0.5,28.0
102,12-30,0.5714,21.0
103,12-31,0.25,4.0
104,01-03,0.5238,21.0
105,01-04,0.7,20.0
106,01-05,0.625,8.0
107,01-06,0.9333,15.0
108,01-07,0.9231,13.0
109,01-10,0.7097,31.0
110,01-11,0.85,20.0
111,01-12,0.6154,13.0
112,01-13,0.3333,6.0
113,01-14,0.72,25.0
114,01-17,0.8889,18.0
115,01-18,1.0,4.0
116,01-19,0.7143,7.0
117,01-20,0.5,2.0
118,01-21,0.7368,19.0
119,01-24,0.8,5.0
120,01-25,0.4762,21.0
