,date,sentiment_index,count
0,01-08,0.875,8.0
1,01-15,0.0,0.0
2,01-22,-0.5,2.0
3,01-29,0.8333,6.0
4,02-05,1.0,2.0
5,02-12,0.0,0.0
6,02-19,0.8125,16.0
7,02-26,1.0,2.0
8,03-05,1.0,1.0
9,03-12,1.0,2.0
10,03-19,0.8,5.0
11,03-26,1.0,7.0
12,04-02,1.0,5.0
13,04-09,0.9524,21.0
14,04-16,0.0,1.0
15,04-23,0.0,0.0
16,04-30,0.0,0.0
17,05-07,0.9286,14.0
18,05-14,0.0,0.0
19,05-21,-0.5,4.0
20,05-28,0.0,1.0
21,06-04,0.0,0.0
22,06-11,0.8,10.0
23,06-18,0.0,0.0
24,06-25,0.6,15.0
25,07-02,0.5,2.0
26,07-09,1.0,4.0
27,07-16,0.3333,3.0
28,07-23,1.0,3.0
29,07-30,0.0,0.0
30,08-06,0.8889,9.0
31,08-13,1.0,6.0
32,08-20,0.0,0.0
33,08-27,0.6667,3.0
34,09-03,0.0,2.0
35,09-10,0.5,16.0
36,09-17,0.4545,11.0
37,09-24,0.0,0.0
38,10-01,0.5,22.0
39,10-08,0.0,0.0
40,10-22,1.0,3.0
41,10-15,0.9091,22.0
42,10-29,0.5,8.0
43,11-05,0.8,5.0
44,11-12,1.0,16.0
45,11-19,0.0,0.0
46,11-26,1.0,4.0
47,12-03,1.0,1.0
48,12-10,1.0,6.0
49,12-17,0.0,0.0
50,12-24,0.6,5.0
51,12-31,1.0,7.0
52,01-07,1.0,2.0
53,01-14,0.0,1.0
54,01-21,0.3333,3.0
55,01-28,1.0,3.0
56,02-04,0.0,0.0
57,02-11,0.75,8.0
59,02-18,1.0,3.0
60,02-21,0.6667,3.0
61,02-22,1.0,4.0
62,02-23,0.8,5.0
63,02-24,0.8,5.0
64,02-25,0.64,25.0
65,02-28,0.125,8.0
66,03-01,0.0,0.0
67,03-02,0.0,0.0
68,03-03,1.0,1.0
69,03-04,0.3333,3.0
70,03-07,0.8571,7.0
71,03-08,0.4,10.0
72,03-09,0.5,2.0
73,03-10,0.875,8.0
74,03-11,0.8,20.0
75,03-14,0.0,1.0
76,03-15,0.0,0.0
77,03-16,1.0,4.0
78,03-17,0.6,5.0
79,03-18,1.0,3.0
80,03-21,1.0,5.0
81,03-22,0.3333,6.0
82,03-23,1.0,2.0
83,03-24,0.7857,14.0
84,03-25,1.0,1.0
85,03-28,0.6471,17.0
86,03-29,0.0,0.0
87,03-30,0.7778,18.0
88,03-31,0.8077,26.0
89,04-01,0.6429,14.0
90,04-04,0.8,10.0
91,04-05,1.0,1.0
92,04-06,0.0,0.0
93,04-07,1.0,6.0
94,04-08,0.0,0.0
95,04-11,1.0,4.0
96,04-12,0.9412,17.0
97,04-13,0.2,5.0
98,04-14,0.6923,13.0
99,04-15,0.0,0.0
100,04-18,1.0,4.0
101,04-19,1.0,1.0
102,04-20,1.0,4.0
103,04-21,1.0,4.0
104,04-22,1.0,1.0
105,04-25,1.0,2.0
106,04-26,0.1739,23.0
107,04-27,0.0,2.0
108,04-28,0.8,5.0
109,04-29,1.0,1.0
110,05-02,0.5,2.0
111,05-03,0.3333,6.0
112,05-04,0.0,0.0
113,05-05,0.5,2.0
114,05-06,1.0,5.0
115,05-09,1.0,1.0
116,05-10,1.0,5.0
117,05-11,0.625,8.0
118,05-12,-1.0,1.0
119,05-13,0.6364,11.0
120,05-16,0.7143,14.0
121,05-17,1.0,1.0
122,05-18,0.6667,6.0
123,05-19,0.75,4.0
124,05-20,0.0,0.0
125,05-23,0.8235,17.0
126,05-24,0.0,6.0
127,05-25,0.0,0.0
128,05-26,1.0,1.0
129,05-27,0.2,5.0
130,05-30,0.75,4.0
131,05-31,1.0,5.0
132,06-01,0.0,0.0
133,06-02,0.8333,6.0
134,06-03,0.0,0.0
135,06-06,1.0,5.0
136,06-07,0.6429,14.0
137,06-08,1.0,1.0
138,06-09,0.5,4.0
139,06-10,0.5,2.0
140,06-13,0.75,16.0
141,06-14,0.0,3.0
142,06-15,1.0,4.0
143,06-16,0.6667,12.0
144,06-17,0.0,1.0
145,06-20,-0.6667,3.0
146,06-21,0.0,2.0
147,06-22,0.0,0.0
148,06-23,0.0,0.0
149,06-24,0.1111,9.0
150,06-27,0.1667,6.0
151,06-28,0.5,2.0
152,06-29,0.0,0.0
153,06-30,0.4286,7.0
154,07-01,0.6667,3.0
155,07-04,1.0,2.0
156,07-05,0.0,0.0
157,07-06,0.0,1.0
158,07-07,1.0,1.0
159,07-08,0.8,5.0
160,07-11,0.9474,19.0
161,07-12,0.7895,19.0
162,07-13,0.6,5.0
163,07-14,1.0,2.0
164,07-15,0.0,0.0
165,07-18,0.5,6.0
166,07-19,0.0,1.0
167,07-20,0.1,10.0
168,07-21,-0.6,20.0
169,07-22,-0.1111,9.0
170,07-25,0.0,1.0
171,07-26,0.1111,9.0
172,07-27,0.0,6.0
173,07-28,0.8667,15.0
174,07-29,-0.3333,12.0
175,08-01,0.4444,9.0
176,08-02,0.2857,7.0
177,08-03,0.75,4.0
178,08-04,0.6667,3.0
179,08-05,1.0,4.0
180,08-08,0.7143,7.0
181,08-09,0.0,0.0
182,08-10,1.0,2.0
183,08-11,0.8667,15.0
184,08-12,1.0,2.0
185,08-15,0.5714,7.0
186,08-16,0.0,6.0
187,08-17,1.0,2.0
188,08-18,0.2857,7.0
189,08-19,0.5,2.0
190,08-22,0.75,4.0
191,08-23,0.6667,3.0
192,08-24,0.0,0.0
193,08-25,0.0,1.0
194,08-26,1.0,5.0
195,08-29,1.0,9.0
196,08-30,1.0,1.0
197,08-31,0.0,0.0
198,09-01,0.0,0.0
199,09-02,0.0,0.0
200,09-05,0.6,5.0
201,09-06,0.0,0.0
202,09-07,0.0,2.0
203,09-08,0.0,0.0
204,09-09,1.0,7.0
205,09-12,0.9,10.0
206,09-13,0.9412,17.0
207,09-14,0.6,5.0
208,09-15,1.0,1.0
209,09-16,0.5,2.0
210,09-19,0.0,0.0
211,09-20,1.0,1.0
212,09-21,0.2857,7.0
213,09-22,0.5,10.0
214,09-23,0.0,0.0
215,09-26,0.4,5.0
216,09-27,1.0,6.0
217,09-28,0.0,0.0
